,ka
0,-2.07
1,-2.06542236328125
2,-2.0608447265625
3,-2.05626708984375
4,-2.051689453125
5,-2.04711181640625
6,-2.0425341796875
7,-2.03795654296875
8,-2.03337890625
9,-2.02880126953125
10,-2.0242236328125
11,-2.01964599609375
12,-2.015068359375
13,-2.01049072265625
14,-2.0059130859375
15,-2.00133544921875
16,-1.9967578124999998
17,-1.9921801757812498
18,-1.9876025390624998
19,-1.9830249023437498
20,-1.9784472656249998
21,-1.9738696289062498
22,-1.9692919921874998
23,-1.9647143554687498
24,-1.9601367187499998
25,-1.9555590820312498
26,-1.9509814453124998
27,-1.9464038085937498
28,-1.9418261718749998
29,-1.9372485351562498
30,-1.9326708984374998
31,-1.9280932617187498
32,-1.9235156249999998
33,-1.9189379882812498
34,-1.9143603515624998
35,-1.9097827148437498
36,-1.9052050781249998
37,-1.9006274414062498
38,-1.8960498046874998
39,-1.8914721679687498
40,-1.8868945312499998
41,-1.8823168945312498
42,-1.8777392578124998
43,-1.8731616210937498
44,-1.8685839843749998
45,-1.8640063476562498
46,-1.8594287109374998
47,-1.8548510742187498
48,-1.8502734374999998
49,-1.8456958007812498
50,-1.8411181640624998
51,-1.8365405273437498
52,-1.8319628906249998
53,-1.8273852539062498
54,-1.8228076171874998
55,-1.8182299804687498
56,-1.8136523437499998
57,-1.8090747070312498
58,-1.8044970703124998
59,-1.7999194335937498
60,-1.7953417968749998
61,-1.7907641601562498
62,-1.7861865234374998
63,-1.7816088867187498
64,-1.7770312499999998
65,-1.7724536132812498
66,-1.7678759765624998
67,-1.7632983398437498
68,-1.7587207031249998
69,-1.7541430664062498
70,-1.7495654296874998
71,-1.7449877929687498
72,-1.7404101562499998
73,-1.7358325195312498
74,-1.7312548828124998
75,-1.7266772460937498
76,-1.7220996093749998
77,-1.7175219726562498
78,-1.7129443359374998
79,-1.7083666992187498
80,-1.7037890624999998
81,-1.6992114257812498
82,-1.6946337890624998
83,-1.6900561523437498
84,-1.6854785156249998
85,-1.6809008789062498
86,-1.6763232421874998
87,-1.6717456054687498
88,-1.6671679687499998
89,-1.6625903320312498
90,-1.6580126953124998
91,-1.6534350585937498
92,-1.6488574218749998
93,-1.6442797851562498
94,-1.6397021484374998
95,-1.6351245117187498
96,-1.6305468749999998
97,-1.6259692382812498
98,-1.6213916015624998
99,-1.6168139648437498
100,-1.6122363281249998
101,-1.6076586914062498
102,-1.6030810546874998
103,-1.5985034179687498
104,-1.5939257812499998
105,-1.5893481445312498
106,-1.5847705078124998
107,-1.5801928710937498
108,-1.5756152343749998
109,-1.5710375976562498
110,-1.5664599609374998
111,-1.5618823242187498
112,-1.5573046874999998
113,-1.5527270507812498
114,-1.5481494140624998
115,-1.5435717773437498
116,-1.5389941406249998
117,-1.5344165039062498
118,-1.5298388671874998
119,-1.5252612304687498
120,-1.5206835937499998
121,-1.5161059570312498
122,-1.5115283203124998
123,-1.5069506835937498
124,-1.5023730468749998
125,-1.4977954101562498
126,-1.4932177734374998
127,-1.4886401367187498
128,-1.4840624999999998
129,-1.4794848632812498
130,-1.4749072265624998
131,-1.4703295898437498
132,-1.4657519531249998
133,-1.4611743164062498
134,-1.4565966796874998
135,-1.4520190429687498
136,-1.4474414062499998
137,-1.4428637695312498
138,-1.4382861328124998
139,-1.4337084960937498
140,-1.4291308593749998
141,-1.4245532226562498
142,-1.4199755859374998
143,-1.4153979492187498
144,-1.4108203124999998
145,-1.4062426757812498
146,-1.4016650390624998
147,-1.3970874023437498
148,-1.3925097656249998
149,-1.3879321289062498
150,-1.3833544921874998
151,-1.3787768554687498
152,-1.3741992187499998
153,-1.3696215820312498
154,-1.3650439453124998
155,-1.3604663085937498
156,-1.3558886718749998
157,-1.3513110351562498
158,-1.3467333984374998
159,-1.3421557617187498
160,-1.3375781249999998
161,-1.3330004882812498
162,-1.3284228515624998
163,-1.3238452148437498
164,-1.3192675781249998
165,-1.3146899414062498
166,-1.3101123046874998
167,-1.3055346679687498
168,-1.3009570312499998
169,-1.2963793945312498
170,-1.2918017578124998
171,-1.2872241210937498
172,-1.2826464843749998
173,-1.2780688476562498
174,-1.2734912109374998
175,-1.2689135742187498
176,-1.2643359374999998
177,-1.2597583007812498
178,-1.2551806640624998
179,-1.2506030273437498
180,-1.2460253906249998
181,-1.2414477539062498
182,-1.2368701171874998
183,-1.2322924804687498
184,-1.2277148437499998
185,-1.2231372070312498
186,-1.2185595703124998
187,-1.2139819335937498
188,-1.2094042968749998
189,-1.2048266601562498
190,-1.2002490234374998
191,-1.1956713867187498
192,-1.1910937499999998
193,-1.1865161132812498
194,-1.1819384765624998
195,-1.1773608398437498
196,-1.1727832031249998
197,-1.1682055664062498
198,-1.1636279296874998
199,-1.1590502929687498
200,-1.1544726562499998
201,-1.1498950195312498
202,-1.1453173828124998
203,-1.1407397460937498
204,-1.1361621093749998
205,-1.1315844726562498
206,-1.1270068359374998
207,-1.1224291992187498
208,-1.1178515624999998
209,-1.1132739257812498
210,-1.1086962890624998
211,-1.1041186523437498
212,-1.0995410156249998
213,-1.0949633789062498
214,-1.0903857421874998
215,-1.0858081054687498
216,-1.0812304687499998
217,-1.0766528320312498
218,-1.0720751953124998
219,-1.0674975585937498
220,-1.0629199218749998
221,-1.0583422851562498
222,-1.0537646484374998
223,-1.0491870117187498
224,-1.0446093749999998
225,-1.0400317382812498
226,-1.0354541015624998
227,-1.0308764648437498
228,-1.0262988281249998
229,-1.0217211914062498
230,-1.0171435546874998
231,-1.0125659179687498
232,-1.0079882812499998
233,-1.0034106445312498
234,-0.9988330078124998
235,-0.9942553710937498
236,-0.9896777343749998
237,-0.9851000976562498
238,-0.9805224609374998
239,-0.9759448242187498
240,-0.9713671874999998
241,-0.9667895507812498
242,-0.9622119140624998
243,-0.9576342773437498
244,-0.9530566406249998
245,-0.9484790039062498
246,-0.9439013671874998
247,-0.9393237304687498
248,-0.9347460937499998
249,-0.9301684570312498
250,-0.9255908203124998
251,-0.9210131835937498
252,-0.9164355468749998
253,-0.9118579101562498
254,-0.9072802734374998
255,-0.9027026367187498
256,-0.8981249999999998
257,-0.8935473632812498
258,-0.8889697265624998
259,-0.8843920898437498
260,-0.8798144531249998
261,-0.8752368164062498
262,-0.8706591796874998
263,-0.8660815429687498
264,-0.8615039062499998
265,-0.8569262695312498
266,-0.8523486328124998
267,-0.8477709960937498
268,-0.8431933593749998
269,-0.8386157226562498
270,-0.8340380859374998
271,-0.8294604492187498
272,-0.8248828124999998
273,-0.8203051757812498
274,-0.8157275390624998
275,-0.8111499023437498
276,-0.8065722656249998
277,-0.8019946289062498
