,ku
0,-2.37
1,-2.36237060546875
2,-2.3547412109375
3,-2.34711181640625
4,-2.339482421875
5,-2.33185302734375
6,-2.3242236328125
7,-2.31659423828125
8,-2.30896484375
9,-2.30133544921875
10,-2.2937060546875
11,-2.28607666015625
12,-2.278447265625
13,-2.27081787109375
14,-2.2631884765625
15,-2.25555908203125
16,-2.2479296875
17,-2.24030029296875
18,-2.2326708984375
19,-2.22504150390625
20,-2.217412109375
21,-2.20978271484375
22,-2.2021533203125
23,-2.19452392578125
24,-2.18689453125
25,-2.17926513671875
26,-2.1716357421875
27,-2.16400634765625
28,-2.156376953125
29,-2.14874755859375
30,-2.1411181640625
31,-2.13348876953125
32,-2.125859375
33,-2.11822998046875
34,-2.1106005859375
35,-2.10297119140625
36,-2.095341796875
37,-2.08771240234375
38,-2.0800830078125
39,-2.07245361328125
40,-2.06482421875
41,-2.05719482421875
42,-2.0495654296875
43,-2.04193603515625
44,-2.034306640625
45,-2.02667724609375
46,-2.0190478515625
47,-2.01141845703125
48,-2.0037890625
49,-1.99615966796875
50,-1.9885302734375
51,-1.98090087890625
52,-1.973271484375
53,-1.96564208984375
54,-1.9580126953125
55,-1.95038330078125
56,-1.94275390625
57,-1.93512451171875
58,-1.9274951171875
59,-1.91986572265625
60,-1.912236328125
61,-1.90460693359375
62,-1.8969775390625
63,-1.88934814453125
64,-1.88171875
65,-1.87408935546875
66,-1.8664599609375
67,-1.85883056640625
68,-1.851201171875
69,-1.84357177734375
70,-1.8359423828125
71,-1.82831298828125
72,-1.82068359375
73,-1.81305419921875
74,-1.8054248046875
75,-1.79779541015625
76,-1.790166015625
77,-1.78253662109375
78,-1.7749072265625
79,-1.76727783203125
80,-1.7596484375
81,-1.75201904296875
82,-1.7443896484375
83,-1.73676025390625
84,-1.729130859375
85,-1.72150146484375
86,-1.7138720703125
87,-1.70624267578125
88,-1.69861328125
89,-1.69098388671875
90,-1.6833544921875
91,-1.67572509765625
92,-1.668095703125
93,-1.66046630859375
94,-1.6528369140625
95,-1.64520751953125
96,-1.637578125
97,-1.62994873046875
98,-1.6223193359375
99,-1.61468994140625
100,-1.607060546875
101,-1.59943115234375
102,-1.5918017578125
103,-1.58417236328125
104,-1.57654296875
105,-1.56891357421875
106,-1.5612841796875
107,-1.55365478515625
108,-1.546025390625
109,-1.53839599609375
110,-1.5307666015625
111,-1.52313720703125
112,-1.5155078125
113,-1.50787841796875
114,-1.5002490234375
115,-1.49261962890625
116,-1.484990234375
117,-1.47736083984375
118,-1.4697314453125
119,-1.46210205078125
120,-1.45447265625
121,-1.44684326171875
122,-1.4392138671875
123,-1.43158447265625
124,-1.423955078125
125,-1.41632568359375
126,-1.4086962890625
127,-1.40106689453125
128,-1.3934375
129,-1.38580810546875
130,-1.3781787109375
131,-1.37054931640625
132,-1.362919921875
133,-1.35529052734375
134,-1.3476611328125
135,-1.34003173828125
136,-1.33240234375
137,-1.32477294921875
138,-1.3171435546875
139,-1.30951416015625
140,-1.301884765625
141,-1.29425537109375
142,-1.2866259765625
143,-1.27899658203125
144,-1.2713671875
145,-1.26373779296875
146,-1.2561083984375
147,-1.24847900390625
148,-1.240849609375
149,-1.23322021484375
150,-1.2255908203125
151,-1.21796142578125
152,-1.21033203125
153,-1.20270263671875
154,-1.1950732421875
155,-1.18744384765625
156,-1.179814453125
157,-1.17218505859375
158,-1.1645556640625
159,-1.15692626953125
160,-1.149296875
161,-1.14166748046875
162,-1.1340380859375
163,-1.12640869140625
164,-1.118779296875
165,-1.11114990234375
166,-1.1035205078125
167,-1.09589111328125
168,-1.08826171875
169,-1.08063232421875
170,-1.0730029296875
171,-1.06537353515625
172,-1.057744140625
173,-1.05011474609375
174,-1.0424853515625
175,-1.03485595703125
176,-1.0272265625
177,-1.01959716796875
178,-1.0119677734375
179,-1.00433837890625
180,-0.9967089843750001
181,-0.9890795898437501
182,-0.9814501953125001
183,-0.9738208007812501
184,-0.9661914062500001
185,-0.9585620117187501
186,-0.9509326171875001
187,-0.9433032226562501
188,-0.9356738281250001
189,-0.9280444335937501
190,-0.9204150390625001
191,-0.9127856445312501
192,-0.9051562500000001
193,-0.8975268554687501
194,-0.8898974609375001
195,-0.8822680664062501
196,-0.8746386718750001
197,-0.8670092773437501
198,-0.8593798828125001
199,-0.8517504882812501
200,-0.8441210937500001
201,-0.8364916992187501
202,-0.8288623046875001
203,-0.8212329101562501
204,-0.8136035156250001
205,-0.8059741210937501
206,-0.7983447265625001
207,-0.7907153320312501
208,-0.7830859375000001
209,-0.7754565429687501
210,-0.7678271484375001
211,-0.7601977539062501
212,-0.7525683593750001
213,-0.7449389648437501
214,-0.7373095703125001
215,-0.7296801757812501
216,-0.7220507812500001
217,-0.7144213867187501
218,-0.7067919921875001
219,-0.6991625976562501
220,-0.6915332031250001
221,-0.6839038085937501
222,-0.6762744140625001
223,-0.6686450195312501
224,-0.6610156250000001
225,-0.6533862304687501
226,-0.6457568359375001
227,-0.6381274414062501
228,-0.6304980468750001
229,-0.6228686523437501
230,-0.6152392578125001
231,-0.6076098632812501
232,-0.5999804687500001
233,-0.5923510742187501
234,-0.5847216796875001
235,-0.5770922851562501
236,-0.5694628906250001
237,-0.5618334960937501
238,-0.5542041015625001
239,-0.5465747070312501
240,-0.5389453125000001
241,-0.5313159179687501
242,-0.5236865234375001
243,-0.5160571289062501
244,-0.5084277343750001
245,-0.5007983398437501
246,-0.4931689453125001
247,-0.4855395507812501
248,-0.4779101562500001
249,-0.4702807617187501
250,-0.4626513671875001
251,-0.4550219726562501
252,-0.4473925781250001
253,-0.4397631835937501
254,-0.4321337890625001
255,-0.4245043945312501
256,-0.4168750000000001
257,-0.4092456054687501
258,-0.4016162109375001
259,-0.3939868164062501
260,-0.3863574218750001
261,-0.3787280273437501
262,-0.3710986328125001
263,-0.3634692382812501
264,-0.3558398437500001
265,-0.3482104492187501
266,-0.3405810546875001
267,-0.3329516601562501
268,-0.3253222656250001
269,-0.3176928710937501
270,-0.3100634765625001
271,-0.3024340820312501
272,-0.2948046875000001
273,-0.2871752929687501
274,-0.2795458984375001
275,-0.2719165039062501
276,-0.2642871093750001
277,-0.2566577148437501
278,-0.2490283203125001
279,-0.2413989257812501
280,-0.2337695312500001
281,-0.2261401367187501
282,-0.2185107421875001
283,-0.2108813476562501
284,-0.2032519531250001
285,-0.1956225585937501
286,-0.1879931640625001
287,-0.1803637695312501
288,-0.1727343750000001
289,-0.1651049804687501
290,-0.1574755859375001
291,-0.1498461914062501
292,-0.1422167968750001
293,-0.1345874023437501
294,-0.1269580078125001
295,-0.1193286132812501
296,-0.1116992187500001
297,-0.1040698242187501
298,-0.0964404296875001
299,-0.0888110351562501
300,-0.0811816406250001
301,-0.0735522460937501
302,-0.0659228515625001
303,-0.05829345703125011
304,-0.05066406250000011
305,-0.04303466796875011
306,-0.03540527343750011
307,-0.027775878906250107
308,-0.020146484375000107
309,-0.012517089843750107
310,-0.004887695312500107
311,0.0027416992187498934
312,0.010371093749999893
313,0.018000488281249893
314,0.025629882812499893
315,0.03325927734374989
316,0.04088867187499989
317,0.04851806640624989
318,0.05614746093749989
319,0.0637768554687499
320,0.0714062499999999
321,0.0790356445312499
322,0.0866650390624999
323,0.0942944335937499
324,0.1019238281249999
325,0.1095532226562499
326,0.1171826171874999
327,0.1248120117187499
328,0.1324414062499999
329,0.1400708007812499
