,hh,vv,hv,vh
0,0.03849134100826328,0.038495818394848794,0.038511284649167477,0.038491911830943505
1,0.03378935789533569,0.033795073914424045,0.03380646604941234,0.03379239155327744
2,0.0226733427204844,0.02268061680496917,0.022683853964556515,0.022680592972692544
3,0.011349043906730142,0.011354933936625733,0.011353248225135634,0.011357055874601467
4,0.004089393118011221,0.00409136710684586,0.004090381454418026,0.004094095597697879
5,0.0010566442888568345,0.001055605869131185,0.0010572166922001597,0.0010577423161537527
6,0.00021863579675000577,0.00021731914946759734,0.00021945915038147496,0.00021845768725588135
7,1.7850015583537004e-05,1.7508578472421476e-05,1.8216984247290888e-05,1.7780695524009588e-05
8,3.305259765598564e-05,3.304857956534375e-05,3.268319203929247e-05,3.2895732393153356e-05
9,0.00019689363887434385,0.0001967903735060214,0.00019651125046900964,0.00019678287682390396
10,0.00031808098619705635,0.0003185799746522351,0.0003184704567431052,0.0003190533699643015
11,0.0002672504037883398,0.0002689472209339171,0.0002683501808998014,0.0002697499215515877
12,0.0001265480340002288,0.0001288359262739725,0.00012766840054487244,0.00012954847718446832
13,2.9529359220569765e-05,3.1213139576774984e-05,3.0154633883620147e-05,3.158264004967445e-05
14,8.156802577676783e-06,8.662796152826452e-06,8.289004312400905e-06,8.74574195931237e-06
15,2.504025455621753e-05,2.466474109518367e-05,2.4922529303554856e-05,2.4634672912307485e-05
16,4.968866191004013e-05,4.895857321585841e-05,4.9472528533567894e-05,4.891420827317852e-05
17,6.79912014937969e-05,6.715436392922054e-05,6.769285949868733e-05,6.709891513441082e-05
18,6.915059329173806e-05,6.823053630478886e-05,6.875797471947135e-05,6.812438571415072e-05
19,5.218573433110454e-05,5.125154454756977e-05,5.1720077687119846e-05,5.105271083929646e-05
20,2.96169873346584e-05,2.8867375119744423e-05,2.9140839280192194e-05,2.8575282079851407e-05
21,1.4313853921343346e-05,1.3944649150385915e-05,1.3924080999690029e-05,1.3632996827689524e-05
22,8.655897922853644e-06,8.708457141027244e-06,8.445292332167755e-06,8.491384194649387e-06
23,7.856033926555303e-06,8.199043273562025e-06,7.852170253351478e-06,8.14635855690238e-06
24,7.921254767281933e-06,8.361937571098031e-06,8.06574456766323e-06,8.45155322824693e-06
25,8.370952453834436e-06,8.797859785558954e-06,8.566608328503916e-06,8.947421183481933e-06
26,1.0531725706203513e-05,1.0995859686182528e-05,1.0705941383865666e-05,1.1124313270541426e-05
27,1.571408114347786e-05,1.6378995105742783e-05,1.5834227960919202e-05,1.6436106025934844e-05
28,2.39502855126218e-05,2.4891201501043183e-05,2.398966260599366e-05,2.485338419426238e-05
29,3.1622449344647506e-05,3.262741762631369e-05,3.15425469635559e-05,3.249976652259659e-05
30,3.063083241798971e-05,3.130423467906082e-05,3.0441203734181268e-05,3.114508262098971e-05
31,1.8529083418835785e-05,1.8730239232936363e-05,1.8378916661735723e-05,1.8665148969215322e-05
32,2.224230949753684e-05,2.2306076716653273e-05,2.2388301596181426e-05,2.2491695317590294e-05
33,0.00011114529675895577,0.00011129578960701145,0.00011172065042830266,0.00011184475493962345
34,0.0003606915492554468,0.0003600462452112079,0.0003614672745130041,0.0003609657721662692
35,0.0007693054054126815,0.0007658020713404774,0.0007697568496789943,0.0007669763485600816
36,0.001204372552668423,0.001196315759596633,0.0012040860320211217,0.0011975245426217242
37,0.0014592159340284113,0.0014472706151104535,0.0014582609210279421,0.0014482478853263957
38,0.0013987355257602345,0.00138629476950079,0.0013976115109809262,0.0013868398619193475
39,0.0010639069634058459,0.0010551257377606374,0.0010631180853015254,0.0010552139947601071
40,0.0006338603088462218,0.00063090137137965,0.0006335541926732723,0.0006306891586211067
41,0.0002870638234898727,0.0002888769806111579,0.0002870531031456512,0.0002885814810891907
42,9.451841343021764e-05,9.80844045626619e-05,9.456508383565127e-05,9.78526937183595e-05
