,hh,vv,hv,vh
0,0.02079121528900945,0.023733212259063125,0.0236034409853559,0.023637795756672186
1,0.013936717244218013,0.02085299371676678,0.02073996799235322,0.02077033839188374
2,0.006836349528561314,0.013980275986759771,0.013906944696597192,0.013927573019085149
3,0.002219086739371818,0.006859932548927697,0.006826983800656855,0.006837051590561136
4,0.00036778177186452197,0.002228338017002362,0.002220442179110726,0.0022232835082022125
5,3.9317646953024745e-05,0.0003702030474323932,0.0003709362905169569,0.0003709559829811101
6,7.809994460007196e-05,3.988938041072219e-05,4.0944783014718785e-05,4.0962518096883414e-05
7,6.960995639371114e-05,7.852781400566943e-05,7.882110756482087e-05,7.947976990011448e-05
8,3.21610291907265e-05,6.990952442181169e-05,7.048985816957988e-05,7.128632185939043e-05
9,1.3732763574332364e-05,3.218225306558243e-05,3.325474561358581e-05,3.3725958913697775e-05
10,5.989656563259839e-06,1.3595970347846715e-05,1.458997619748149e-05,1.4720923992339916e-05
11,7.0075846743135e-07,5.872400471851568e-06,6.382966202053235e-06,6.37355666115262e-06
12,1.393248804035543e-06,6.60504574140523e-07,7.90501162641646e-07,7.78634190783217e-07
13,6.206480899532164e-06,1.4074012119137356e-06,1.5156444383763615e-06,1.5434688707732251e-06
14,9.322611009834188e-06,6.256117722644675e-06,6.600318822991465e-06,6.68994509232978e-06
15,8.981806314314098e-06,9.398166120102917e-06,9.9876112680313e-06,1.0155465767026766e-05
16,6.800181488190352e-06,9.05910284136103e-06,9.7431456162714e-06,9.96777612456792e-06
17,4.744198817658926e-06,6.8546906464057965e-06,7.476055975753891e-06,7.697374288648788e-06
18,4.1349596751726725e-06,4.78078566338701e-06,5.243769425996176e-06,5.39861600815451e-06
19,4.876171511850907e-06,4.18476792436166e-06,4.444211576933355e-06,4.502271487979866e-06
20,5.5886204538502455e-06,4.9712631090568275e-06,5.015331550931766e-06,4.995909295705952e-06
21,5.162469089387339e-06,5.7482407044738875e-06,5.601468227420552e-06,5.561015533548538e-06
22,3.6979431754933563e-06,5.384933466187887e-06,5.118022934801868e-06,5.108852377056955e-06
23,2.071527676364084e-06,3.943888650195462e-06,3.666926562222325e-06,3.6991476270441414e-06
24,1.1197500150354978e-06,2.267306346530716e-06,2.0846442159256845e-06,2.130326775945203e-06
25,1.0239005168637718e-06,1.207982187312155e-06,1.1538111438062893e-06,1.1882663888676745e-06
26,1.2406636922906702e-06,1.0183879365144778e-06,1.0382546886853867e-06,1.0710711065245474e-06
27,1.1684269706021391e-06,1.2158607151195102e-06,1.2238637968123673e-06,1.2858390856319684e-06
28,7.674557940950263e-07,1.1882078517474629e-06,1.142376278253405e-06,1.245737755441442e-06
29,3.6790267411603136e-07,8.331958032433399e-07,7.547479379038915e-07,8.732280958551262e-07
30,1.5142847384910116e-07,4.36944099488232e-07,3.701127682161692e-07,4.609985685402956e-07
31,5.929581480742685e-08,1.904488271632865e-07,1.5763186301813542e-07,1.994423943481964e-07
32,1.20675551274384e-08,6.914069008181017e-08,6.267203369186621e-08,6.77482859653213e-08
33,2.2369202614523434e-08,1.0963161944900069e-08,1.523067226501358e-08,1.1217027272548408e-08
34,1.7134036278221575e-07,2.0839421103832036e-08,3.425106113581287e-08,4.103771231385799e-08
35,5.703141334355345e-07,1.581446728895055e-07,2.0264341543445937e-07,2.1657831964689678e-07
36,1.2933329396582733e-06,4.94297115079607e-07,6.285326585769774e-07,5.971681697648116e-07
37,2.2509810118643713e-06,1.0401578882546282e-06,1.3779249627772884e-06,1.1706433100114496e-06
38,3.1096125323338136e-06,1.662350985172774e-06,2.3508859928886403e-06,1.7827437035015173e-06
39,3.4247056751684324e-06,2.08298048160644e-06,3.205159122772765e-06,2.1532467236914294e-06
40,2.970668417649068e-06,2.0366185577076164e-06,3.4950455566679144e-06,2.0383229779586124e-06
41,1.964905635799031e-06,1.5021016094852343e-06,3.0039558950992716e-06,1.4501563867315024e-06
42,9.343002117530422e-07,7.786904771750579e-07,1.9640202617776752e-06,7.115231941398263e-07
43,3.6504065784398574e-07,2.8997175523975935e-07,9.13618622627499e-07,2.4654900816149074e-07
44,4.7449740402751785e-07,2.985507724838492e-07,3.41584693356887e-07,3.0156315561057673e-07
45,1.2145911831386096e-06,7.982774508725646e-07,4.599427924232511e-07,8.546376030753538e-07
46,2.3459712243978267e-06,1.6152368225857457e-06,1.210611747685902e-06,1.7267717817297567e-06
47,3.4644342993065593e-06,2.527617962577428e-06,2.3406741022071637e-06,2.6957378415052397e-06
48,4.08020403277939e-06,3.2742679403117207e-06,3.4299180332266885e-06,3.4913254442840435e-06
49,3.867214371543422e-06,3.5534400779869206e-06,3.9798972349701675e-06,3.792139724718306e-06
50,2.9237535366792364e-06,3.172942939829081e-06,3.680535162866043e-06,3.392582942041523e-06
51,1.7283492125587762e-06,2.2583208930153786e-06,2.6736251951567707e-06,2.4285227626510887e-06
52,7.742883516320897e-07,1.2266370865765168e-06,1.4798299507622354e-06,1.3440719796755487e-06
53,2.536524566047578e-07,4.783264661114268e-07,5.95588679850103e-07,5.566087825702704e-07
54,6.909105611930345e-08,1.339000138994949e-07,1.7417840619331952e-07,1.8030453872071079e-07
55,4.335629517640259e-08,6.81777701017878e-08,7.318671640878107e-08,7.660331626907536e-08
56,6.221269770491267e-08,1.1010092732313328e-07,9.603859865139204e-08,7.506125119786705e-08
57,8.526049626087267e-08,1.617878942922493e-07,1.335667578704403e-07,9.08287046649201e-08
58,1.058599176227498e-07,1.9430746812311528e-07,1.5616352664902435e-07,1.0406847002707367e-07
59,1.1754899720874467e-07,2.0744618789511115e-07,1.6446526989064967e-07,1.1362674371167487e-07
60,1.055237753718545e-07,2.0017401230179278e-07,1.5783466314427497e-07,1.1567949787499916e-07
61,6.553860985064225e-08,1.6312608647038892e-07,1.275410730841839e-07,1.0176721855982568e-07
62,2.0781307459651757e-08,9.788210886750846e-08,7.390830590059002e-08,7.206668489931194e-08
63,7.299006160358549e-09,3.405659240571967e-08,2.1715895806666418e-08,4.491708304840292e-08
64,4.4441079345927e-08,1.1364280344507497e-08,5.92762037730362e-09,4.214894554023477e-08
65,1.2363566118061707e-07,4.5658007194208174e-08,4.394110027294964e-08,6.779745569010198e-08
66,2.1750096624415613e-07,1.1960106635489411e-07,1.2722460396706667e-07,1.0881784526487366e-07
67,2.9195539529359867e-07,2.0039660356868856e-07,2.3206101830185251e-07,1.5178774871501632e-07
68,3.1855749937667364e-07,2.5844027281255745e-07,3.2844873604923657e-07,1.9154957717161355e-07
69,2.9589778354855077e-07,2.752694678846907e-07,3.824205504270417e-07,2.268432938223727e-07
70,2.717969049673861e-07,2.4901004740169557e-07,3.6524556712399025e-07,2.555253303291653e-07
71,3.329927639154288e-07,2.0080491367550232e-07,2.7668768530196835e-07,2.7693248399239665e-07
72,5.430380350500035e-07,1.6953422793972878e-07,1.640584980064688e-07,2.9488291918558143e-07
73,8.701236870269213e-07,1.8512118042462783e-07,1.0567285864043749e-07,3.1207579487164096e-07
74,1.1815597509880908e-06,2.3902602430089725e-07,1.5653110919609799e-07,3.2078003650360404e-07
75,1.3257789357519889e-06,2.8625421794119237e-07,3.0075264569355026e-07,3.0498041388349585e-07
76,1.2327149842502919e-06,2.839252955900967e-07,4.572677141587161e-07,2.558387064318264e-07
77,9.493663272890716e-07,2.2906846690603538e-07,5.352916141490692e-07,1.8371732683053676e-07
78,5.956594245216578e-07,1.5827101824841622e-07,4.933935486834545e-07,1.1392323780094352e-07
79,2.887347096881001e-07,1.1238342715343677e-07,3.591207030182281e-07,7.054637733638438e-08
80,9.133466131146266e-08,1.0241267988063386e-07,2.002230256408443e-07,6.081124196763977e-08
81,9.319530659897258e-09,1.0811868627142859e-07,7.614977540730704e-08,7.158782695339255e-08
82,2.221637215766364e-08,1.0642344892775894e-07,1.31698214578974e-08,8.302245310366511e-08
83,1.0748539875137161e-07,9.610071045569027e-08,1.751839971818241e-08,8.838176522658965e-08
84,2.386827216365712e-07,9.508804346980614e-08,9.494356737090592e-08,1.0128221550391796e-07
85,3.7591128194746037e-07,1.253020987134149e-07,2.425623242426048e-07,1.4663217877723446e-07
86,4.7136667589761106e-07,2.0577840159555652e-07,4.241858631130971e-07,2.4437614703041014e-07
87,4.870711057869079e-07,3.4068455627088327e-07,5.680935440199631e-07,3.8798168310006887e-07
88,4.122771346335998e-07,4.907665789696288e-07,6.023066102950264e-07,5.25804560594839e-07
89,2.7452623439373936e-07,5.703156137113104e-07,5.031015319317383e-07,5.778915617129393e-07
90,1.3283433465123525e-07,5.10789394685343e-07,3.1737739900513735e-07,5.000209063191529e-07
91,4.350728096502911e-08,3.388462092893973e-07,1.3518469127060224e-07,3.362213143610555e-07
92,2.1893378685113187e-08,1.6849586580273703e-07,2.845513134155517e-08,1.8936447060196131e-07
93,4.0807489309830375e-08,1.0170034248180186e-07,7.4329313415540425e-09,1.321153051038914e-07
94,6.637072317827782e-08,1.4547132421020904e-07,3.2498278495374355e-08,1.5489234648501956e-07
95,8.675414967273474e-08,2.2769294946104027e-07,6.155701550754671e-08,1.9751370343639795e-07
96,1.0559942081284911e-07,2.752150205723159e-07,8.11250220050498e-08,2.1302187261433272e-07
97,1.2085774293884965e-07,2.656906709890734e-07,9.875859373160874e-08,1.9484969275983347e-07
98,1.2071217188443524e-07,2.1885991704692886e-07,1.1891633993800265e-07,1.5917665891117698e-07
99,9.780082057266357e-08,1.6115079616442446e-07,1.318370135982743e-07,1.2021526973409602e-07
100,6.057680404409769e-08,1.0706689025788073e-07,1.2280747137004726e-07,8.575091130541138e-08
101,2.831582095093527e-08,6.53850655684986e-08,8.892665177462226e-08,6.603336502394204e-08
102,1.5526699031371153e-08,4.790419366753203e-08,4.562043750286051e-08,7.382527531801448e-08
103,2.1165467889782142e-08,6.282568023983124e-08,1.5741778346644728e-08,1.0962609977883383e-07
104,3.218783343587868e-08,1.012683259763859e-07,1.1848514126499927e-08,1.5121915520145938e-07
105,3.6540412444096615e-08,1.3755103086718462e-07,2.8844304638150633e-08,1.6638776855767577e-07
106,3.221308788804639e-08,1.4696851773838723e-07,5.1599140248678374e-08,1.3968466168833138e-07
107,2.5053565431079933e-08,1.2347945763782145e-07,6.705190098502034e-08,8.535923904343344e-08
108,2.04473276516965e-08,8.106340402579561e-08,7.016592152414972e-08,3.381509090343179e-08
109,1.8352661937015302e-08,4.0697424389821556e-08,6.290315394679075e-08,7.197090407525499e-09
